Using proactor: IocpProactor
('192.168.43.106', '0.947', '0.434', '-1.825')
('192.168.43.106', '0.943', '0.429', '-1.825')
('192.168.43.106', '0.939', '0.409', '-1.825')
('192.168.43.106', '0.935', '0.406', '-1.825')
('192.168.43.106', '0.930', '0.399', '-1.825')
('192.168.43.106', '0.926', '0.383', '-1.825')
('192.168.43.106', '0.922', '0.389', '-1.825')
('192.168.43.106', '0.918', '0.374', '-1.825')
('192.168.43.106', '0.914', '0.364', '-1.824')
('192.168.43.106', '0.909', '0.345', '-1.824')
('192.168.43.106', '0.905', '0.337', '-1.824')
('192.168.43.106', '0.901', '0.371', '-1.824')
('192.168.43.106', '0.897', '0.374', '-1.824')
('192.168.43.106', '0.893', '0.381', '-1.824')
('192.168.43.106', '0.890', '0.369', '-1.824')
('192.168.43.106', '0.886', '0.372', '-1.824')
('192.168.43.106', '0.882', '0.395', '-1.824')
('192.168.43.106', '0.879', '0.432', '-1.823')
('192.168.43.106', '0.876', '0.460', '-1.823')
('192.168.43.106', '0.873', '0.443', '-1.823')
('192.168.43.106', '0.870', '0.422', '-1.823')
('192.168.43.106', '0.867', '0.405', '-1.823')
('192.168.43.106', '0.864', '0.381', '-1.823')
('192.168.43.106', '0.860', '0.365', '-1.823')
('192.168.43.106', '0.857', '0.371', '-1.823')
('192.168.43.106', '0.854', '0.358', '-1.823')
('192.168.43.106', '0.850', '0.357', '-1.823')
('192.168.43.106', '0.847', '0.358', '-1.823')
('192.168.43.106', '0.844', '0.355', '-1.823')
('192.168.43.106', '0.841', '0.363', '-1.822')
('192.168.43.106', '0.837', '0.365', '-1.822')
('192.168.43.106', '0.834', '0.347', '-1.822')
('192.168.43.106', '0.831', '0.339', '-1.822')
('192.168.43.106', '0.828', '0.336', '-1.822')
('192.168.43.106', '0.825', '0.373', '-1.822')
('192.168.43.106', '0.822', '0.405', '-1.822')
('192.168.43.106', '0.820', '0.392', '-1.822')
('192.168.43.106', '0.817', '0.376', '-1.822')
('192.168.43.106', '0.814', '0.358', '-1.822')
('192.168.43.106', '0.812', '0.401', '-1.822')
('192.168.43.106', '0.809', '0.416', '-1.822')
('192.168.43.106', '0.807', '0.400', '-1.822')
('192.168.43.106', '0.804', '0.387', '-1.821')
('192.168.43.106', '0.802', '0.363', '-1.821')
('192.168.43.106', '0.799', '0.341', '-1.821')
('192.168.43.106', '0.796', '0.327', '-1.821')
('192.168.43.106', '0.793', '0.312', '-1.821')
('192.168.43.106', '0.790', '0.296', '-1.821')
('192.168.43.106', '0.787', '0.282', '-1.821')
('192.168.43.106', '0.784', '0.268', '-1.821')
('192.168.43.106', '0.782', '0.355', '-1.821')
('192.168.43.106', '0.780', '0.428', '-1.821')
('192.168.43.106', '0.778', '0.411', '-1.821')
('192.168.43.106', '0.776', '0.390', '-1.821')
('192.168.43.106', '0.773', '0.380', '-1.821')
('192.168.43.106', '0.771', '0.363', '-1.821')
('192.168.43.106', '0.769', '0.373', '-1.821')
('192.168.43.106', '0.767', '0.355', '-1.820')
('192.168.43.106', '0.764', '0.373', '-1.820')
('192.168.43.106', '0.762', '0.365', '-1.820')
('192.168.43.106', '0.760', '0.381', '-1.820')
('192.168.43.106', '0.758', '0.373', '-1.820')
('192.168.43.106', '0.756', '0.366', '-1.820')
('192.168.43.106', '0.754', '0.348', '-1.820')
('192.168.43.106', '0.751', '0.330', '-1.820')
('192.168.43.106', '0.749', '0.330', '-1.820')
('192.168.43.106', '0.747', '0.315', '-1.820')
('192.168.43.106', '0.745', '0.311', '-1.820')
('192.168.43.106', '0.742', '0.297', '-1.820')
('192.168.43.106', '0.740', '0.281', '-1.820')
('192.168.43.106', '0.738', '0.292', '-1.820')
('192.168.43.106', '0.735', '0.297', '-1.820')
('192.168.43.106', '0.733', '0.280', '-1.820')
('192.168.43.106', '0.731', '0.268', '-1.820')
('192.168.43.106', '0.729', '0.300', '-1.819')
('192.168.43.106', '0.726', '0.287', '-1.819')
('192.168.43.106', '0.724', '0.286', '-1.819')
('192.168.43.106', '0.722', '0.299', '-1.819')
('192.168.43.106', '0.720', '0.310', '-1.819')
('192.168.43.106', '0.718', '0.321', '-1.819')
('192.168.43.106', '0.716', '0.314', '-1.819')
('192.168.43.106', '0.714', '0.338', '-1.819')
('192.168.43.106', '0.712', '0.331', '-1.819')
('192.168.43.106', '0.710', '0.337', '-1.819')
('192.168.43.106', '0.709', '0.316', '-1.819')
('192.168.43.106', '0.707', '0.352', '-1.819')
('192.168.43.106', '0.705', '0.384', '-1.819')
('192.168.43.106', '0.704', '0.393', '-1.819')
('192.168.43.106', '0.702', '0.371', '-1.819')
('192.168.43.106', '0.701', '0.361', '-1.819')
('192.168.43.106', '0.699', '0.395', '-1.819')
('192.168.43.106', '0.698', '0.446', '-1.819')
('192.168.43.106', '0.697', '0.451', '-1.819')
('192.168.43.106', '0.696', '0.430', '-1.819')
('192.168.43.106', '0.694', '0.420', '-1.819')
('192.168.43.106', '0.693', '0.459', '-1.819')
('192.168.43.106', '0.692', '0.445', '-1.818')
('192.168.43.106', '0.691', '0.448', '-1.818')
('192.168.43.106', '0.690', '0.421', '-1.818')
('192.168.43.106', '0.689', '0.406', '-1.818')
('192.168.43.106', '0.687', '0.416', '-1.818')
('192.168.43.106', '0.686', '0.427', '-1.818')
('192.168.43.106', '0.685', '0.443', '-1.818')
('192.168.43.106', '0.684', '0.449', '-1.818')
('192.168.43.106', '0.683', '0.433', '-1.818')
('192.168.43.106', '0.682', '0.422', '-1.818')
('192.168.43.106', '0.681', '0.401', '-1.818')
('192.168.43.106', '0.680', '0.414', '-1.818')
('192.168.43.106', '0.678', '0.390', '-1.818')
('192.168.43.106', '0.677', '0.383', '-1.818')
('192.168.43.106', '0.676', '0.397', '-1.818')
('192.168.43.106', '0.675', '0.419', '-1.818')
('192.168.43.106', '0.674', '0.447', '-1.818')
('192.168.43.106', '0.673', '0.475', '-1.818')
('192.168.43.106', '0.672', '0.494', '-1.818')
('192.168.43.106', '0.671', '0.463', '-1.818')
('192.168.43.106', '0.671', '0.530', '-1.818')
('192.168.43.106', '0.670', '0.546', '-1.818')
('192.168.43.106', '0.670', '0.521', '-1.818')
('192.168.43.106', '0.669', '0.491', '-1.818')
('192.168.43.106', '0.668', '0.478', '-1.818')
('192.168.43.106', '0.667', '0.449', '-1.818')
('192.168.43.106', '0.666', '0.432', '-1.818')
('192.168.43.106', '0.665', '0.406', '-1.818')
('192.168.43.106', '0.664', '0.383', '-1.818')
('192.168.43.106', '0.663', '0.378', '-1.818')
('192.168.43.106', '0.662', '0.359', '-1.818')
('192.168.43.106', '0.660', '0.345', '-1.818')
('192.168.43.106', '0.659', '0.332', '-1.818')
('192.168.43.106', '0.658', '0.315', '-1.818')
('192.168.43.106', '0.656', '0.307', '-1.818')
('192.168.43.106', '0.655', '0.290', '-1.817')
('192.168.43.106', '0.653', '0.284', '-1.817')
('192.168.43.106', '0.652', '0.271', '-1.817')
