9,825;0,613;-2
9,825;0,005;-2
9,592;0,598;-2
9,592;0,619;-2
10,077;0,623;-2
10,077;0,597;-2
10,116;1,210;93
10,116;0,606;-2
10,205;1,738;93
10,205;1,132;93
257,796;1,644;78
257,796;1,684;78
222,491;2,166;83
222,491;2,218;83
440,930;2,625;56
440,930;2,115;56
393,055;3,063;62
393,055;1,983;62
571,213;2,893;41
571,213;2,467;41
790,191;3,315;15
790,191;2,977;15
724,817;3,123;23
724,817;3,416;23
669,894;2,947;29
669,894;3,290;29
622,769;2,804;35
622,769;3,158;35
581,985;3,216;40
581,985;2,978;40
546,229;3,137;44
546,229;3,416;44
514,660;3,048;48
514,660;3,771;48
486,386;3,416;51
486,386;4,056;51
461,310;3,773;54
461,310;4,366;54
438,738;4,136;57
438,738;4,101;57
418,358;3,886;59
418,358;3,866;59
399,808;4,267;61
399,808;3,713;61
382,830;4,002;63
382,830;3,582;63
367,315;3,774;65
367,315;3,463;65
352,997;3,544;67
352,997;3,925;67
339,614;3,334;69
339,614;4,313;69
327,395;3,702;70
327,395;4,671;70
316,059;4,085;71
316,059;4,996;71
382,250;3,844;63
382,250;4,748;63
369,821;4,222;65
369,821;5,160;65
358,072;4,572;66
358,072;5,443;66
427,643;4,287;58
427,643;5,745;58
487,862;4,033;51
487,862;5,408;51
592,765;3,809;38
