4,557371139524147e-06
0,0006190270930528687
0,0005970868049189491
0,0006056513430667028
0,0011322928631671094
0,001684331704337863
0,0022181771408388935
0,002114975434808998
0,001983473135408994
0,002467318469078522
0,0029769905785016985
0,003415814226427365
0,00329013718809813
0,0031580694545631535
0,0029779391018045147
0,0034156222387675492
0,0037713201385479555
0,004056352781294061
0,004365955150721858
0,004100580622068041
0,0038661179778268296
0,003713186852381607
0,0035816847833301585
0,0034625751108215996
0,003925029479925202
0,0043134603309113485
0,004671114963244551
0,004995539525478288
0,004747695493818441
0,005159707263224895
0,005443360689201915
0,005744716565049188
0,005407603904825165
